Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,Active Hours,On Hours,User Hours
month,Student,Active,08/01/20,22.68,9.32,8.15,4.22,2.35,2.67,2.28,1.22,2.18,1.65,1.9,1.22,0.72,1.77,0.7,2.95,0.02,0.0,0.0,0.0,0.0,65.98,228.75,299.78
month,Student,Active,07/01/20,22.15,14.55,8.08,5.92,4.48,4.98,3.5,3.33,3.15,4.52,3.47,3.42,2.03,3.63,2.55,0.07,0.0,0.0,0.0,0.0,0.0,89.83,259.23,471.92
month,Student,Active,06/01/20,0.22,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,81.15,2.15
month,Student,Active,05/01/20,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,34.78,0.05
month,Student,Active,04/01/20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,80.52,5.0
month,Student,Active,03/01/20,17.2,5.93,4.05,2.87,2.68,1.32,0.78,1.38,1.58,0.75,0.87,1.05,0.33,0.4,0.77,0.05,0.0,0.0,0.0,0.0,0.0,42.02,152.97,156.67
month,Student,Active,02/01/20,19.4,7.63,4.98,3.83,3.95,5.83,3.28,3.1,2.47,2.35,3.12,3.72,5.22,3.27,3.63,1.58,0.33,0.0,0.0,0.0,0.0,77.7,227.08,491.12
month,Student,Active,01/01/20,11.35,8.37,5.33,4.37,6.73,5.22,7.17,6.23,2.97,5.15,4.83,5.4,4.85,5.42,8.15,2.33,1.87,0.0,0.0,0.0,0.0,95.73,211.58,752.92
month,Student,Active,12/01/19,15.72,5.92,4.02,1.83,1.8,2.08,2.2,1.75,1.37,1.6,1.78,3.08,3.05,3.6,1.28,1.83,2.18,0.0,0.0,0.0,0.0,55.1,179.47,358.5
month,Student,Active,11/01/19,9.8,5.83,5.22,3.68,3.77,3.4,1.65,3.57,3.02,2.57,2.75,4.85,4.88,1.82,3.85,6.22,5.33,0.0,0.0,0.0,0.0,72.2,177.38,609.23
month,Student,Active,10/01/19,21.12,8.23,3.88,2.58,4.05,3.85,5.07,4.6,4.4,4.8,4.62,5.5,6.85,9.8,8.77,9.67,14.9,0.0,0.0,0.0,0.0,122.68,230.3,1145.28
month,Student,Active,09/01/19,9.02,2.88,0.88,1.05,1.35,0.8,1.15,0.77,1.33,1.1,1.07,1.87,3.2,4.12,7.22,10.83,9.08,0.0,0.0,0.0,0.0,57.72,132.8,639.73
month,Student,Active,08/01/19,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.28,0.07
month,Student,All,08/01/20,32.25,10.75,7.92,5.3,2.13,2.92,1.37,2.42,1.73,1.88,2.22,0.87,0.6,0.38,2.68,2.53,1.03,0.0,0.0,0.0,0.0,78.98,228.75,336.5
month,Student,All,07/01/20,22.68,18.02,11.97,5.72,5.05,4.12,3.92,3.05,2.88,4.12,3.98,4.2,2.15,3.62,3.72,0.25,0.0,0.0,0.0,0.0,0.0,99.43,259.23,518.92
month,Student,All,06/01/20,0.22,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,81.15,2.15
month,Student,All,05/01/20,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,34.78,0.05
month,Student,All,04/01/20,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17,80.52,5.17
